channelGrouping;date;fullVisitorId;visitNumber;visitStartTime;browser;operatingSystem;isMobile;deviceCategory;metro;city;campaign;source;medium;hits;pageviews;bounces;newVisits;transactionRevenue;year;month;quarterMonth;day;weekday;hour
Referral;2017-05-22;5018379661055949961;3;2024-03-09 22:50:00;Chrome;Linux;False;desktop;Seattle-Tacoma WA;Seattle;(not set);mall.googleplex.com;referral;14;14;False;False;10.63;2017;5;2;22;0;22
Organic Search;2017-03-17;3843366261321201068;1;2024-03-09 14:51:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);google;organic;53;44;False;True;330.51;2017;3;1;17;4;14
Referral;2016-12-02;1066020050760729061;1;2024-03-09 01:28:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;Mountain View;(not set);mall.googleplex.com;referral;15;13;False;True;44.79;2016;12;4;2;4;1
Direct;2016-12-19;946442826800977839;1;2024-03-09 15:15:00;Chrome;Linux;False;desktop;New York NY;New York;(not set);(direct);(none);32;23;False;True;29.98;2016;12;4;19;0;15
Referral;2017-05-25;8253742246691621007;5;2024-03-09 15:07:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);mall.googleplex.com;referral;11;11;False;False;15.99;2017;5;2;25;3;15
Paid Search;2016-09-30;8833612323012512340;4;2024-03-09 12:10:00;Chrome;Android;True;mobile;Orlando-Daytona Beach-Melbourne FL;Orlando;AW - Dynamic Search Ads Whole Site;google;cpc;40;31;False;False;101.95;2016;9;3;30;4;12
Display;2017-03-30;2856851067532814805;1;2024-03-09 20:04:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;Mountain View;(not set);dfa;cpm;45;34;False;True;95.18;2017;3;1;30;3;20
Organic Search;2016-10-09;5400673732426511835;12;2024-03-09 01:12:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;11;11;False;False;14.48;2016;10;4;9;6;1
Direct;2017-05-21;8936592721963873590;1;2024-03-09 18:13:00;Safari;iOS;True;mobile;not available in demo dataset;not available in demo dataset;(not set);(direct);(none);11;11;False;True;6.99;2017;5;2;21;6;18
Referral;2017-02-16;3190679366721791608;2;2024-03-09 15:20:00;Chrome;Macintosh;False;desktop;Boston MA-Manchester NH;Cambridge;(not set);mall.googleplex.com;referral;22;20;False;False;24.73;2017;2;1;16;3;15
Organic Search;2016-11-04;4345063544012377407;1;2024-03-09 03:08:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;18;16;False;True;1.99;2016;11;4;4;4;3
Referral;2016-11-04;249856897836798285;4;2024-03-09 20:18:00;Chrome;Macintosh;False;desktop;Detroit MI;Ann Arbor;(not set);mall.googleplex.com;referral;36;26;False;False;105.48;2016;11;4;4;4;20
Paid Search;2017-07-21;975931442450346746;2;2024-03-09 18:09:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;AW - Dynamic Search Ads Whole Site;google;cpc;18;15;False;False;239.88;2017;7;3;21;4;18
Referral;2017-07-21;3551040750443861038;1;2024-03-09 00:01:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;Mountain View;(not set);mall.googleplex.com;referral;19;18;False;True;32.49;2017;7;3;21;4;0
Organic Search;2017-05-08;6200431365137133686;1;2024-03-09 15:45:00;Chrome;Windows;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;66;42;False;True;74.85;2017;5;2;8;0;15
Organic Search;2017-04-06;2761824185690808203;3;2024-03-09 21:24:00;Chrome;Windows;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;28;23;False;False;22.49;2017;4;2;6;3;21
Referral;2017-02-05;539032312488458869;1;2024-03-09 05:32:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);mall.googleplex.com;referral;31;26;False;True;38.38;2017;2;1;5;6;5
Referral;2016-12-07;666077603822154553;1;2024-03-09 16:41:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;Sunnyvale;(not set);mall.googleplex.com;referral;90;65;False;True;109.57;2016;12;4;7;2;16
Referral;2017-04-03;1266146580677289366;1;2024-03-09 20:36:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);mall.googleplex.com;referral;18;16;False;True;67.19;2017;4;2;3;0;20
Direct;2016-08-30;9941820622412680350;1;2024-03-09 12:43:00;Chrome;Chrome OS;False;desktop;Detroit MI;Ann Arbor;(not set);(direct);(none);28;22;False;True;184.05;2016;8;3;30;1;12
Organic Search;2016-09-10;966739175376367480;2;2024-03-09 00:55:00;Chrome;Windows;False;desktop;San Antonio TX;San Antonio;(not set);google;organic;193;138;False;False;0.09;2016;9;3;10;5;0
Referral;2016-09-09;067516997967648879;4;2024-03-09 14:35:00;Chrome;Macintosh;False;desktop;Boston MA-Manchester NH;Cambridge;(not set);mall.googleplex.com;referral;13;11;False;False;26.49;2016;9;3;9;4;14
Referral;2016-09-09;4257424863358354998;1;2024-03-09 04:51:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;Palo Alto;(not set);mall.googleplex.com;referral;26;20;False;True;67.54;2016;9;3;9;4;4
Referral;2016-12-05;7547767069516152606;2;2024-03-09 21:22:00;Chrome;Linux;False;desktop;Seattle-Tacoma WA;Seattle;(not set);mall.googleplex.com;referral;14;12;False;False;64.78;2016;12;4;5;0;21
Referral;2016-12-05;4373501148978271685;1;2024-03-09 06:23:00;Chrome;Linux;False;desktop;San Francisco-Oakland-San Jose CA;Sunnyvale;(not set);mall.googleplex.com;referral;59;46;False;True;32.94;2016;12;4;5;0;6
Referral;2017-01-09;7788388085759905895;2;2024-03-09 19:35:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);sites.google.com;referral;24;16;False;False;239.6;2017;1;1;9;0;19
Organic Search;2017-02-08;7695578750853411684;1;2024-03-09 17:08:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);google;organic;85;58;False;True;479.03;2017;2;1;8;2;17
Direct;2016-10-13;1434841168498009838;3;2024-03-09 15:26:00;Chrome;Macintosh;False;desktop;Houston TX;Houston;(not set);(direct);(none);44;32;False;False;702.9;2016;10;4;13;3;15
Direct;2017-05-02;5536585753094480600;3;2024-03-09 16:05:00;Chrome;Linux;False;desktop;San Francisco-Oakland-San Jose CA;Sunnyvale;(not set);(direct);(none);16;14;False;False;33.59;2017;5;2;2;1;16
Direct;2017-05-02;3182137775133532420;2;2024-03-09 15:27:00;Chrome;Linux;False;desktop;New York NY;New York;(not set);(direct);(none);17;16;False;False;33.59;2017;5;2;2;1;15
Organic Search;2017-07-11;4376369621294658596;3;2024-03-09 15:26:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);google;organic;17;13;False;False;633.16;2017;7;3;11;1;15
Referral;2017-07-11;6185798445433721880;1;2024-03-09 18:57:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);mall.googleplex.com;referral;18;15;False;True;15.19;2017;7;3;11;1;18
Referral;2016-08-12;572741150050251305;4;2024-03-09 20:07:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;San Francisco;(not set);mall.googleplex.com;referral;12;10;False;False;88.05;2016;8;3;12;4;20
Referral;2016-08-12;2195063960372896546;57;2024-03-09 15:07:00;Chrome;Macintosh;False;desktop;Detroit MI;Ann Arbor;(not set);mall.googleplex.com;referral;58;41;False;False;389.12;2016;8;3;12;4;15
Referral;2016-08-12;2195063960372896546;58;2024-03-09 18:04:00;Chrome;Macintosh;False;desktop;Detroit MI;Ann Arbor;(not set);mall.googleplex.com;referral;4;3;False;False;198.1;2016;8;3;12;4;18
Referral;2016-12-15;5544703101015232605;4;2024-03-09 19:06:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;San Francisco;(not set);mall.googleplex.com;referral;17;16;False;False;291.07;2016;12;4;15;3;19
Referral;2016-12-15;28920166996312450;1;2024-03-09 18:28:00;Chrome;Macintosh;False;desktop;Austin TX;Austin;(not set);mall.googleplex.com;referral;32;24;False;True;100.78;2016;12;4;15;3;18
Referral;2016-12-15;9635029100521487345;1;2024-03-09 22:15:00;Chrome;Macintosh;False;desktop;Austin TX;Austin;(not set);mall.googleplex.com;referral;36;27;False;True;13.59;2016;12;4;15;3;22
Referral;2017-02-22;0481562034862119313;5;2024-03-09 20:53:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;Mountain View;(not set);mall.googleplex.com;referral;16;14;False;False;13.59;2017;2;1;22;2;20
Direct;2017-02-22;8485421393652582878;3;2024-03-09 19:45:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;San Francisco;(not set);(direct);(none);23;21;False;False;424.5;2017;2;1;22;2;19
Referral;2017-02-22;9821966112980946101;2;2024-03-09 23:29:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);mall.googleplex.com;referral;40;36;False;False;19.19;2017;2;1;22;2;23
Organic Search;2016-09-11;6260138912431019098;1;2024-03-09 18:31:00;Chrome;Android;True;mobile;not available in demo dataset;not available in demo dataset;(not set);google;organic;17;15;False;True;23.49;2016;9;3;11;6;18
Referral;2016-08-10;2094695043796060837;2;2024-03-09 05:56:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);mall.googleplex.com;referral;42;30;False;False;11.29;2016;8;3;10;2;5
Direct;2016-08-02;8431948372603091644;3;2024-03-09 17:54:00;Chrome;Windows;False;desktop;not available in demo dataset;not available in demo dataset;(not set);(direct);(none);35;32;False;False;478.4;2016;8;3;2;1;17
Organic Search;2016-10-31;8454863669635317148;1;2024-03-09 16:09:00;Chrome;Macintosh;False;desktop;Chicago IL;Chicago;(not set);google;organic;40;31;False;True;119.99;2016;10;4;31;0;16
Referral;2016-10-17;2705981917839130365;2;2024-03-09 16:52:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);mall.googleplex.com;referral;22;20;False;False;19.95;2016;10;4;17;0;16
Referral;2017-05-28;582674888457699636;2;2024-03-09 22:21:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);mall.googleplex.com;referral;75;49;False;False;40.52;2017;5;2;28;6;22
Organic Search;2017-07-05;7466690540565937255;1;2024-03-09 11:30:00;Chrome;Android;True;mobile;Washington DC (Hagerstown MD);Washington;(not set);google;organic;14;13;False;True;34.38;2017;7;3;5;2;11
Referral;2016-08-01;7545791097611675575;11;2024-03-09 22:40:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;San Francisco;(not set);mall.googleplex.com;referral;49;35;False;False;102.35;2016;8;3;1;0;22
Referral;2016-08-17;4752567709813602757;3;2024-03-09 18:24:00;Chrome;Macintosh;False;desktop;Chicago IL;Chicago;(not set);mall.googleplex.com;referral;47;34;False;False;284.34;2016;8;3;17;2;18
Direct;2017-02-02;5810770256591004737;5;2024-03-09 17:52:00;Chrome;Macintosh;False;desktop;Los Angeles CA;Los Angeles;(not set);(direct);(none);42;31;False;False;200.89;2017;2;1;2;3;17
Referral;2017-07-26;4146222468180363567;9;2024-03-09 15:39:00;Chrome;Chrome OS;False;desktop;New York NY;New York;(not set);mall.googleplex.com;referral;52;39;False;False;217.44;2017;7;3;26;2;15
Organic Search;2016-09-19;7480579182178358481;2;2024-03-09 21:35:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;146;125;False;False;26.95;2016;9;3;19;0;21
Organic Search;2017-03-15;7942338055212909628;5;2024-03-09 23:06:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;13;12;False;False;52.49;2017;3;1;15;2;23
Organic Search;2017-03-15;1648291834073448774;2;2024-03-09 02:23:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;20;16;False;False;9.98;2017;3;1;15;2;2
Organic Search;2017-03-15;18400544049332170;1;2024-03-09 05:36:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;25;23;False;True;69.99;2017;3;1;15;2;5
Referral;2017-03-15;2620684501904017348;8;2024-03-09 18:43:00;Chrome;Macintosh;False;desktop;Detroit MI;Ann Arbor;(not set);mall.googleplex.com;referral;37;23;False;False;306.72;2017;3;1;15;2;18
Organic Search;2016-10-25;3622534010088332289;2;2024-03-09 05:20:00;Chrome;Windows;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;22;18;False;False;16.99;2016;10;4;25;1;5
Referral;2017-02-20;8467075594022086226;1;2024-03-09 03:50:00;Chrome;Windows;False;desktop;San Francisco-Oakland-San Jose CA;San Francisco;(not set);mall.googleplex.com;referral;35;33;False;True;45.57;2017;2;1;20;0;3
Direct;2017-03-07;6944288019130180719;7;2024-03-09 14:19:00;Chrome;Windows;False;desktop;not available in demo dataset;not available in demo dataset;(not set);(direct);(none);12;12;False;False;79.19;2017;3;1;7;1;14
Organic Search;2017-03-07;4284278279892078822;2;2024-03-09 16:15:00;Safari;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;14;13;False;False;34.99;2017;3;1;7;1;16
Direct;2017-03-07;6944288019130180719;8;2024-03-09 15:49:00;Chrome;Windows;False;desktop;not available in demo dataset;not available in demo dataset;(not set);(direct);(none);22;20;False;False;3.99;2017;3;1;7;1;15
Referral;2017-05-24;5018379661055949961;5;2024-03-09 17:08:00;Chrome;Linux;False;desktop;Seattle-Tacoma WA;Seattle;(not set);mall.googleplex.com;referral;29;29;False;False;32.42;2017;5;2;24;2;17
Direct;2016-11-16;29131400687020410;1;2024-03-09 21:59:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);(direct);(none);40;30;False;True;755.63;2016;11;4;16;2;21
Direct;2017-06-10;6188341189468203455;2;2024-03-09 07:05:00;Chrome;Macintosh;False;desktop;(not set);Singapore;(not set);(direct);(none);89;61;False;False;127.12;2017;6;2;10;5;7
Referral;2017-03-04;517644101045776450;2;2024-03-09 20:21:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;San Francisco;(not set);mall.googleplex.com;referral;15;13;False;False;19.75;2017;3;1;4;5;20
Referral;2017-03-04;134817585377058947;5;2024-03-09 03:31:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;San Francisco;(not set);mall.googleplex.com;referral;40;36;False;False;132.58;2017;3;1;4;5;3
Organic Search;2016-10-12;5310912563447452038;15;2024-03-09 20:08:00;Chrome;Linux;False;desktop;San Francisco-Oakland-San Jose CA;Mountain View;(not set);google;organic;13;13;False;False;372.65;2016;10;4;12;2;20
Referral;2017-03-14;238046754537073811;5;2024-03-09 06:00:00;Chrome;Chrome OS;False;desktop;(not set);(not set);(not set);mall.googleplex.com;referral;53;44;False;False;19.19;2017;3;1;14;1;6
Referral;2016-11-21;8687950969845469175;1;2024-03-09 13:59:00;Chrome;Macintosh;False;desktop;Austin TX;Austin;(not set);mall.googleplex.com;referral;66;55;False;True;42.37;2016;11;4;21;0;13
Referral;2016-12-12;2032340774982891136;2;2024-03-09 00:23:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;Mountain View;(not set);mall.googleplex.com;referral;44;36;False;False;9.16;2016;12;4;12;0;0
Referral;2016-12-18;9748388824239957018;3;2024-03-09 00:05:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);mall.googleplex.com;referral;65;45;False;False;67.12;2016;12;4;18;6;0
Organic Search;2016-11-08;6709889310139115020;1;2024-03-09 01:18:00;Safari;iOS;True;mobile;Los Angeles CA;Los Angeles;(not set);google;organic;19;18;False;True;5.97;2016;11;4;8;1;1
Organic Search;2016-11-08;8336976483259265727;2;2024-03-09 02:25:00;Chrome;Windows;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;51;39;False;False;24.99;2016;11;4;8;1;2
Organic Search;2017-01-23;7245767536802426368;1;2024-03-09 14:19:00;Chrome;iOS;True;mobile;Boston MA-Manchester NH;Boston;(not set);google;organic;15;13;False;True;1.99;2017;1;1;23;0;14
Referral;2017-03-27;79656074413776629;3;2024-03-09 14:49:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);mall.googleplex.com;referral;25;21;False;False;20.78;2017;3;1;27;0;14
Direct;2017-01-17;3118941601870086725;1;2024-03-09 04:03:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;Sunnyvale;(not set);(direct);(none);18;14;False;True;36.78;2017;1;1;17;1;4
Direct;2017-01-30;4535878237328113213;1;2024-03-09 18:55:00;Safari (in-app);iOS;True;mobile;Los Angeles CA;Los Angeles;(not set);(direct);(none);21;21;False;True;5.97;2017;1;1;30;0;18
Direct;2016-12-20;1591673974231051081;1;2024-03-09 00:30:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);(direct);(none);66;53;False;True;279.97;2016;12;4;20;1;0
Referral;2016-08-15;4702152275640391466;7;2024-03-09 16:26:00;Chrome;Linux;False;desktop;San Francisco-Oakland-San Jose CA;Mountain View;(not set);mall.googleplex.com;referral;17;15;False;False;2.73;2016;8;3;15;0;16
Direct;2016-08-15;5870280027247328247;4;2024-03-09 20:38:00;Chrome;Linux;False;desktop;San Francisco-Oakland-San Jose CA;Mountain View;(not set);(direct);(none);26;25;False;False;23.49;2016;8;3;15;0;20
Organic Search;2017-02-11;94024465151480107;9;2024-03-09 03:29:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;28;24;False;False;35.98;2017;2;1;11;5;3
Referral;2017-02-06;3190679366721791608;1;2024-03-09 18:44:00;Chrome;Macintosh;False;desktop;Boston MA-Manchester NH;Cambridge;(not set);mall.googleplex.com;referral;22;20;False;True;59.98;2017;2;1;6;0;18
Organic Search;2017-07-19;4376572204985925602;8;2024-03-09 03:34:00;Safari;iOS;True;mobile;not available in demo dataset;not available in demo dataset;(not set);google;organic;22;22;False;False;9.99;2017;7;3;19;2;3
Organic Search;2017-07-19;4376572204985925602;2;2024-03-09 17:07:00;Safari;iOS;True;mobile;not available in demo dataset;not available in demo dataset;(not set);google;organic;39;35;False;False;4.99;2017;7;3;19;2;17
Direct;2017-03-01;3230704866307301165;4;2024-03-09 21:26:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;Mountain View;(not set);(direct);(none);16;14;False;False;59.99;2017;3;1;1;2;21
Referral;2017-07-12;1152177248793735167;2;2024-03-09 21:07:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;Santa Clara;(not set);mall.googleplex.com;referral;20;18;False;False;105.49;2017;7;3;12;2;21
Referral;2016-12-28;666077603822154553;4;2024-03-09 17:12:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;Sunnyvale;(not set);mall.googleplex.com;referral;11;9;False;False;17.59;2016;12;4;28;2;17
Organic Search;2017-05-30;9180245817688143793;1;2024-03-09 18:18:00;Chrome;Windows;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;18;14;False;True;14.0;2017;5;2;30;1;18
Organic Search;2016-09-21;4285517250225207636;2;2024-03-09 18:21:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);google;organic;16;14;False;False;4.99;2016;9;3;21;2;18
Organic Search;2016-09-21;8402073479422206756;1;2024-03-09 22:23:00;Chrome;Windows;False;desktop;Chicago IL;Chicago;(not set);google;organic;18;14;False;True;44.98;2016;9;3;21;2;22
Direct;2016-09-21;5747102383457651943;3;2024-03-09 18:19:00;Chrome;Macintosh;False;desktop;Washington DC (Hagerstown MD);Washington;(not set);(direct);(none);18;16;False;False;374.85;2016;9;3;21;2;18
