visitNumber;browser;operatingSystem;isMobile;continent;country;city;networkDomain;source;medium;keyword;referralPath;adContent;pageviews;newVisits;transactionRevenue;year;day;weekday;time_range
1;5;9;False;2;19;295;1567;23;5;4;197;11;2;1.0;0.0;2017;23;4;0
2;8;6;False;2;19;295;189;23;5;4;197;11;3;0.0;0.0;2017;23;4;0
1;9;9;False;2;138;111;1368;23;5;4;197;11;3;1.0;0.0;2017;23;4;4
1;5;6;False;2;138;182;1212;23;5;4;197;11;5;1.0;0.0;2017;23;4;0
1;5;6;False;2;138;295;339;48;6;85;0;11;28;1.0;31.49;2017;23;4;0
1;5;9;False;3;114;250;1567;23;5;4;197;11;31;1.0;0.0;2017;23;4;0
1;5;1;True;3;55;57;0;75;6;85;98;11;1;1.0;0.0;2017;23;4;1
1;18;11;True;3;55;0;62;23;5;4;197;11;1;1.0;0.0;2017;12;6;3
2;5;6;False;4;39;295;0;23;5;4;197;11;1;0.0;0.0;2017;12;6;4
1;5;9;False;4;30;295;533;23;5;4;197;11;1;1.0;0.0;2017;12;6;4
1;5;1;True;2;138;295;1212;0;0;85;197;11;1;1.0;0.0;2017;12;6;3
1;18;11;True;3;136;295;1567;23;5;4;197;11;1;1.0;0.0;2017;12;6;4
1;5;9;False;2;19;295;1264;3;2;85;197;11;1;1.0;0.0;2017;12;6;0
3;5;11;True;2;138;231;0;0;0;85;197;11;1;0.0;0.0;2017;12;6;3
1;8;6;False;4;125;295;1567;0;0;85;197;11;1;1.0;0.0;2017;12;6;4
1;5;9;False;2;19;295;459;23;5;4;197;11;1;1.0;0.0;2017;12;6;4
2;5;9;False;3;63;62;1742;23;5;4;197;11;1;0.0;0.0;2017;12;6;1
1;5;1;True;3;55;295;1567;23;5;4;197;11;1;1.0;0.0;2017;12;6;1
1;18;6;False;4;124;295;1440;23;5;4;197;11;1;1.0;0.0;2017;12;6;3
1;18;11;True;2;138;295;1309;23;5;4;197;11;2;1.0;0.0;2017;12;6;0
1;5;9;False;3;60;265;196;23;5;4;197;11;2;1.0;0.0;2017;12;6;4
1;5;9;False;3;60;265;696;23;5;4;197;11;2;1.0;0.0;2017;12;6;4
1;5;9;False;3;63;62;1742;23;5;4;197;11;2;1.0;0.0;2017;12;6;1
7;18;11;True;2;138;0;1567;0;0;85;197;11;3;0.0;0.0;2017;12;6;4
2;5;9;False;2;138;295;1608;23;5;4;197;11;3;0.0;0.0;2017;12;6;0
8;18;11;True;2;138;0;824;0;0;85;197;11;5;0.0;0.0;2017;12;6;0
1;5;9;False;1;33;295;34;23;5;4;197;11;5;1.0;0.0;2017;12;6;4
1;5;1;True;2;138;295;465;23;5;4;197;11;5;1.0;0.0;2017;12;6;3
1;18;6;False;4;102;283;292;23;5;4;197;11;7;1.0;0.0;2017;12;6;4
1;5;6;False;2;138;230;0;23;5;4;197;11;11;1.0;0.0;2017;12;6;0
2;5;6;False;4;59;241;0;23;5;4;197;11;8;0.0;0.0;2017;12;6;4
1;5;9;False;2;138;29;81;75;6;85;129;11;1;1.0;0.0;2017;12;6;0
1;5;9;False;1;33;295;1405;75;6;85;129;11;1;1.0;0.0;2017;12;6;4
1;5;9;False;1;2;295;1567;75;6;85;150;11;2;1.0;0.0;2017;12;6;2
1;5;9;False;4;107;295;1567;75;6;85;179;11;3;1.0;0.0;2017;12;6;4
1;5;1;True;3;127;0;1567;75;6;85;195;11;6;1.0;0.0;2017;12;6;1
2;5;1;True;3;63;295;0;23;5;4;197;11;1;0.0;0.0;2017;3;4;1
1;5;9;False;4;137;295;0;23;5;4;197;11;1;1.0;0.0;2017;3;4;1
13;5;6;False;4;30;295;1246;0;0;85;197;11;1;0.0;0.0;2017;3;4;4
1;5;1;True;4;43;295;1383;23;5;4;197;11;1;1.0;0.0;2017;3;4;4
1;5;9;False;4;61;295;1179;23;5;4;197;11;1;1.0;0.0;2017;3;4;4
1;5;9;False;2;19;295;1264;23;5;4;197;11;1;1.0;0.0;2017;3;4;0
1;5;6;False;2;138;59;0;0;0;85;197;11;1;1.0;0.0;2017;3;4;3
1;5;9;False;3;60;265;1071;23;5;4;197;11;1;1.0;0.0;2017;3;4;1
1;5;5;False;2;138;0;586;0;0;85;197;11;1;1.0;0.0;2017;3;4;3
3;8;9;False;4;137;295;1620;23;3;0;197;5;1;0.0;0.0;2017;3;4;1
1;5;6;False;2;138;295;1608;0;0;85;197;11;1;1.0;0.0;2017;3;4;4
3;18;11;True;2;138;295;1149;23;5;4;197;11;1;0.0;0.0;2017;3;4;4
2;18;11;True;2;138;295;1149;23;5;4;197;11;1;0.0;0.0;2017;3;4;4
1;16;0;True;1;93;295;1567;23;5;34;197;11;1;1.0;0.0;2017;3;4;1
1;5;1;True;4;120;295;741;23;5;84;197;11;1;1.0;0.0;2017;3;4;3
1;18;11;True;2;138;295;0;23;5;4;197;11;1;1.0;0.0;2017;3;4;0
1;5;1;True;2;138;295;0;23;5;4;197;11;1;1.0;0.0;2017;3;4;0
1;18;11;True;4;107;295;762;23;5;97;197;11;1;1.0;0.0;2017;3;4;0
4;5;5;False;2;138;295;0;48;6;85;0;11;2;0.0;0.0;2017;3;4;0
1;18;6;False;2;138;295;1567;0;0;85;197;11;2;1.0;0.0;2017;3;4;3
1;5;9;False;2;138;295;1744;0;0;85;197;11;2;1.0;0.0;2017;3;4;3
1;5;1;True;4;43;295;1383;23;5;4;197;11;4;1.0;0.0;2017;3;4;3
1;18;11;True;2;19;295;0;23;5;4;197;11;8;1.0;0.0;2017;3;4;3
1;7;9;False;4;124;295;1567;75;6;85;130;11;1;1.0;0.0;2017;3;4;1
1;5;6;False;2;83;295;1147;75;6;85;143;11;3;1.0;0.0;2017;3;4;4
1;5;6;False;4;43;295;1425;23;5;4;197;11;5;1.0;0.0;2016;11;3;3
11;5;3;False;2;138;172;0;48;6;85;0;11;9;0.0;0.0;2016;11;3;0
1;18;11;True;4;120;295;1567;23;5;4;197;11;9;1.0;0.0;2016;11;3;3
1;5;1;True;2;138;295;0;23;5;4;197;11;13;1.0;0.0;2016;11;3;4
9;5;6;False;2;138;182;0;67;6;85;17;11;23;0.0;556.61;2016;11;3;3
1;5;6;False;2;138;295;0;23;3;20;197;11;23;1.0;0.0;2016;11;3;4
2;5;6;False;2;138;230;1668;48;6;85;0;11;35;0.0;0.0;2016;11;3;0
8;5;6;False;2;138;182;0;67;6;85;17;11;34;0.0;0.0;2016;11;3;3
1;5;9;False;3;55;295;62;75;6;85;129;11;5;1.0;0.0;2016;11;3;1
1;5;9;False;4;6;295;756;75;6;85;137;11;1;1.0;0.0;2016;11;3;1
1;5;9;False;3;55;25;43;6;6;85;40;11;1;1.0;0.0;2016;11;3;0
1;5;1;True;4;137;295;0;23;5;4;197;11;2;1.0;0.0;2016;11;3;3
1;5;11;True;3;119;246;1567;0;0;85;197;11;1;1.0;0.0;2016;11;3;3
3;5;11;True;3;119;246;1567;0;0;85;197;11;1;0.0;0.0;2016;11;3;0
2;5;6;False;2;138;295;1608;19;6;85;90;11;1;0.0;0.0;2016;11;3;0
1;5;1;True;4;106;41;1567;0;0;85;197;11;2;1.0;0.0;2016;11;3;4
1;5;1;True;2;138;148;1309;0;0;85;197;11;4;1.0;0.0;2016;11;3;2
1;18;10;True;4;106;41;1567;0;0;85;197;11;4;1.0;0.0;2016;11;3;4
2;5;11;True;3;119;246;1567;0;0;85;197;11;10;0.0;0.0;2016;11;3;2
1;5;6;False;2;138;257;0;23;5;4;197;11;1;1.0;0.0;2016;11;3;3
1;5;11;True;2;138;14;134;23;5;4;197;11;1;1.0;0.0;2016;11;3;3
1;5;6;False;2;138;230;1668;23;5;4;197;11;3;1.0;0.0;2016;11;3;0
1;18;6;False;2;138;257;339;23;5;4;197;11;3;1.0;0.0;2016;11;3;0
1;7;9;False;2;138;295;478;75;6;85;129;11;1;1.0;0.0;2016;11;3;2
3;5;9;False;3;132;295;1510;75;6;85;129;11;1;0.0;0.0;2016;11;3;1
1;8;9;False;4;120;295;1070;75;6;85;143;11;1;1.0;0.0;2016;11;3;1
1;5;9;False;4;39;295;1152;75;6;85;150;11;1;1.0;0.0;2016;11;3;1
1;8;9;False;4;135;295;1303;75;6;85;179;11;1;1.0;0.0;2016;11;3;3
1;18;6;False;1;118;295;1567;75;6;85;139;11;1;1.0;0.0;2016;11;3;0
1;5;1;True;4;39;295;1152;23;5;4;197;11;5;1.0;0.0;2017;13;1;0
4;5;6;False;2;138;230;0;23;5;4;197;11;7;0.0;0.0;2017;13;1;3
3;5;9;False;2;138;295;874;23;5;4;197;11;5;0.0;0.0;2017;13;1;4
1;5;1;True;3;55;57;1567;0;0;85;197;11;15;1.0;0.0;2017;13;1;0
8;5;6;False;2;138;48;0;48;6;85;0;11;3;0.0;0.0;2017;13;1;0
1;5;9;False;2;138;295;0;0;0;85;197;11;3;1.0;0.0;2017;13;1;4
4;5;6;False;2;138;195;0;48;6;85;0;11;3;0.0;0.0;2017;13;1;0
1;5;5;False;2;138;172;0;48;6;85;0;11;3;1.0;0.0;2017;13;1;3
1;5;1;True;2;138;295;0;23;5;4;197;11;3;1.0;0.0;2017;13;1;3
2;5;9;False;2;138;295;874;23;5;4;197;11;5;0.0;0.0;2017;13;1;4
1;5;1;True;2;138;59;0;0;0;85;197;11;5;1.0;0.0;2017;13;1;4
1;5;1;True;2;138;295;1177;0;0;85;197;11;7;1.0;0.0;2017;13;1;2
2;5;1;True;2;138;295;1177;23;5;4;197;11;9;0.0;0.0;2017;13;1;2
1;8;9;False;4;45;295;0;23;5;4;197;11;13;1.0;0.0;2017;13;1;1
3;5;6;False;2;138;245;0;48;6;85;0;11;18;0.0;13.59;2017;13;1;4
9;5;6;False;3;132;295;1495;3;2;85;197;11;21;0.0;0.0;2017;13;1;1
1;5;1;True;3;55;295;0;23;5;4;197;11;19;1.0;0.0;2017;13;1;1
8;5;6;False;3;132;295;1495;3;2;85;197;11;37;0.0;0.0;2017;13;1;1
1;18;11;True;3;119;246;1567;23;5;4;197;11;1;1.0;0.0;2017;13;1;1
1;5;9;False;3;55;112;0;23;5;4;197;11;1;1.0;0.0;2017;13;1;3
2;5;9;False;3;127;295;619;5;6;85;24;11;2;0.0;0.0;2017;13;1;4
1;5;1;True;3;110;295;1567;3;2;85;197;11;2;1.0;0.0;2017;13;1;1
6;5;9;False;2;138;225;340;0;0;85;197;11;3;0.0;0.0;2017;13;1;3
2;5;1;True;2;138;59;0;23;5;4;197;11;1;0.0;0.0;2017;13;1;4
1;5;9;False;4;39;295;1262;0;0;85;197;11;1;1.0;0.0;2017;13;1;1
1;5;9;False;2;19;295;1567;23;5;4;197;11;1;1.0;0.0;2017;13;1;2
1;5;1;True;4;137;295;108;23;5;4;197;11;1;1.0;0.0;2017;13;1;0
1;18;11;True;2;138;295;1608;23;5;4;197;11;1;1.0;0.0;2017;13;1;0
1;18;11;True;4;137;295;0;23;5;4;197;11;1;1.0;0.0;2017;13;1;4
1;5;9;False;2;138;295;1212;23;5;4;197;11;1;1.0;0.0;2017;13;1;0
1;5;1;True;2;19;47;189;23;5;4;197;11;2;1.0;0.0;2017;13;1;3
1;18;11;True;4;137;295;1620;23;5;4;197;11;2;1.0;0.0;2017;13;1;1
1;8;6;False;2;138;295;0;23;5;4;197;11;2;1.0;0.0;2017;13;1;0
1;5;1;True;4;137;147;0;0;0;85;197;11;1;1.0;0.0;2017;13;4;3
1;5;1;True;2;138;182;0;0;0;85;197;11;1;1.0;0.0;2017;13;4;0
1;5;9;False;4;11;295;188;23;5;4;197;11;1;1.0;0.0;2017;13;4;1
1;5;6;False;4;120;7;1522;23;5;4;197;11;1;1.0;0.0;2017;13;4;1
1;5;1;True;3;55;295;0;0;0;85;197;11;1;1.0;0.0;2017;13;4;0
1;18;6;False;2;138;182;1608;3;2;85;197;11;1;1.0;0.0;2017;13;4;3
1;5;1;True;4;43;295;0;23;5;4;197;11;1;1.0;0.0;2017;13;4;1
1;18;11;True;4;137;147;1466;23;5;4;197;11;2;1.0;0.0;2017;13;4;2
1;5;9;False;2;138;295;466;23;5;4;197;11;2;1.0;0.0;2017;13;4;4
1;5;6;False;2;138;295;0;23;5;4;197;11;3;1.0;0.0;2017;13;4;0
1;5;6;False;2;138;172;0;0;0;85;197;11;3;1.0;0.0;2017;13;4;3
1;5;9;False;4;124;295;604;5;6;85;25;11;4;1.0;0.0;2017;13;4;4
1;3;1;True;4;120;295;1567;23;5;4;197;11;4;1.0;0.0;2017;13;4;3
1;5;9;False;3;129;295;16;23;5;4;197;11;4;1.0;0.0;2017;13;4;1
5;5;9;False;2;138;172;0;0;0;85;197;11;5;0.0;0.0;2017;13;4;3
1;5;9;False;2;138;295;339;0;0;85;197;11;12;1.0;0.0;2017;13;4;3
1;5;9;False;3;132;295;1510;75;6;85;189;11;1;1.0;0.0;2017;13;4;4
1;5;9;False;4;103;295;978;75;6;85;176;11;1;1.0;0.0;2017;13;4;2
1;18;6;False;3;142;268;1567;75;6;85;191;11;1;1.0;0.0;2016;18;4;0
1;5;1;True;3;55;181;62;23;5;4;197;11;1;1.0;0.0;2016;18;4;1
1;9;9;False;3;119;295;1567;75;6;85;164;11;1;1.0;0.0;2016;18;4;2
1;5;9;False;3;129;0;16;75;6;85;187;11;1;1.0;0.0;2016;18;4;1
1;5;9;False;2;100;136;1567;75;6;85;141;11;1;1.0;0.0;2016;18;4;3
1;5;3;False;4;120;295;44;23;5;4;197;11;1;1.0;0.0;2016;18;4;1
1;5;9;False;3;129;295;1489;75;6;85;187;11;1;1.0;0.0;2016;18;4;0
1;5;9;False;2;83;295;1147;75;6;85;143;11;1;1.0;0.0;2016;18;4;0
2;18;6;False;3;63;249;136;75;6;85;162;11;1;0.0;0.0;2016;18;4;1
1;5;9;False;3;55;25;586;75;6;85;139;11;1;1.0;0.0;2016;18;4;3
1;5;9;False;3;132;295;1510;75;6;85;189;11;1;1.0;0.0;2016;18;4;4
1;5;9;False;3;129;0;16;75;6;85;187;11;1;1.0;0.0;2016;18;4;0
1;18;6;False;2;83;295;879;75;6;85;141;11;1;1.0;0.0;2016;18;4;0
1;18;6;False;3;7;17;156;75;6;85;185;11;1;1.0;0.0;2016;18;4;3
1;5;1;True;3;78;135;1567;23;5;4;197;11;1;1.0;0.0;2016;18;4;4
1;18;6;False;2;83;295;1147;75;6;85;141;11;2;1.0;0.0;2016;18;4;4
1;5;9;False;3;55;175;1718;75;6;85;139;11;2;1.0;0.0;2016;18;4;1
1;18;6;False;3;142;109;313;75;6;85;191;11;4;1.0;0.0;2016;18;4;1
1;18;11;True;3;55;57;42;23;5;4;197;11;30;1.0;0.0;2016;18;4;4
1;5;5;False;2;138;182;1281;0;0;85;197;11;1;1.0;0.0;2016;18;4;4
189;5;6;False;2;138;172;339;0;0;85;197;11;1;0.0;0.0;2016;18;4;4
191;5;6;False;2;138;172;1481;0;0;85;197;11;1;0.0;0.0;2016;18;4;0
190;5;6;False;2;138;172;0;0;0;85;197;11;1;0.0;0.0;2016;18;4;4
1;18;11;True;4;137;295;1620;23;5;4;197;11;1;1.0;0.0;2016;18;4;3
2;18;11;True;2;138;231;1274;75;6;85;129;11;1;0.0;0.0;2016;18;4;3
3;5;1;True;2;138;230;340;0;0;85;197;11;1;0.0;0.0;2016;18;4;4
5;18;11;True;2;138;295;610;23;5;4;197;11;1;0.0;0.0;2016;18;4;2
4;18;11;True;2;138;295;610;23;5;4;197;11;1;0.0;0.0;2016;18;4;1
5;5;1;True;2;138;172;0;23;5;4;197;11;1;0.0;0.0;2016;18;4;3
1;5;9;False;5;91;295;1716;75;6;85;129;11;2;1.0;0.0;2016;18;4;0
1;5;9;False;3;142;109;1567;75;6;85;129;11;2;1.0;0.0;2016;18;4;0
1;18;6;False;3;142;295;1567;75;6;85;129;11;2;1.0;0.0;2016;18;4;1
1;18;6;False;3;142;295;1633;75;6;85;129;11;2;1.0;0.0;2016;18;4;2
1;8;9;False;5;91;295;1450;75;6;85;129;11;2;1.0;0.0;2016;18;4;2
1;5;6;False;2;138;182;1184;23;5;4;197;11;2;1.0;0.0;2016;18;4;4
3;5;6;False;2;138;295;0;0;0;85;197;11;3;0.0;0.0;2016;18;4;3
1;5;6;False;2;138;295;0;23;5;4;197;11;4;1.0;0.0;2016;18;4;0
1;18;6;False;3;63;295;688;60;6;85;13;11;6;1.0;0.0;2016;18;4;1
3;18;6;False;3;63;249;136;23;5;4;197;11;7;0.0;0.0;2016;18;4;1
1;5;1;True;2;138;111;0;23;5;4;197;11;9;1.0;0.0;2016;18;4;3
1;9;9;False;2;138;295;1212;23;5;4;197;11;11;1.0;0.0;2016;18;4;3
1;5;9;False;4;137;295;617;0;0;85;197;11;22;1.0;0.0;2016;18;4;1
1;5;9;False;2;138;295;339;23;5;4;197;11;1;1.0;0.0;2016;10;3;1
4;5;1;True;3;78;135;1567;23;5;4;197;11;1;0.0;0.0;2016;10;3;0
2;5;9;False;3;114;0;0;48;6;85;0;11;5;0.0;0.0;2016;10;3;0
1;5;1;True;2;138;148;0;23;5;4;197;11;6;1.0;0.0;2016;10;3;4
1;18;11;True;2;138;56;0;23;5;4;197;11;6;1.0;0.0;2016;10;3;0
1;5;1;True;2;138;172;0;23;5;4;197;11;7;1.0;0.0;2016;10;3;4
1;5;9;False;5;5;38;1068;23;5;4;197;11;8;1.0;0.0;2016;10;3;1
1;5;9;False;2;19;169;769;3;2;85;197;11;11;1.0;0.0;2016;10;3;4
1;5;6;False;2;138;295;0;48;6;85;0;11;12;1.0;27.19;2016;10;3;0
1;5;9;False;2;138;295;1686;23;5;4;197;11;13;1.0;0.0;2016;10;3;4
2;5;9;False;5;5;38;1068;23;5;4;197;11;15;0.0;0.0;2016;10;3;1
1;5;6;False;5;5;295;272;23;5;4;197;11;1;1.0;0.0;2016;10;3;0
1;5;6;False;2;138;295;33;23;3;20;197;11;1;1.0;0.0;2016;10;3;3
1;5;9;False;2;83;295;738;23;5;4;197;11;1;1.0;0.0;2016;10;3;3
1;18;11;True;4;30;295;382;23;5;4;197;11;1;1.0;0.0;2016;10;3;4
1;5;9;False;5;5;259;1068;23;5;4;197;11;1;1.0;0.0;2016;10;3;1
1;5;6;False;4;90;8;1593;23;5;4;197;11;1;1.0;0.0;2016;10;3;4
1;5;6;False;3;114;0;0;23;5;4;197;11;1;1.0;0.0;2016;10;3;1
1;18;6;False;3;142;109;1567;75;6;85;191;11;1;1.0;0.0;2016;10;3;1
1;18;6;False;2;15;295;1622;75;6;85;174;11;1;1.0;0.0;2016;10;3;1
1;18;6;False;3;142;109;0;75;6;85;191;11;1;1.0;0.0;2016;10;3;0
1;18;6;False;2;15;295;1605;75;6;85;174;11;1;1.0;0.0;2016;10;3;4
1;5;9;False;3;132;295;1510;75;6;85;189;11;1;1.0;0.0;2016;10;3;4
1;18;6;False;3;142;75;1633;75;6;85;191;11;1;1.0;0.0;2016;10;3;0
1;5;9;False;3;119;295;1567;75;6;85;164;11;1;1.0;0.0;2016;10;3;1
1;5;9;False;3;142;75;1633;75;6;85;191;11;1;1.0;0.0;2016;10;3;1
1;5;9;False;3;4;295;1530;75;6;85;179;11;1;1.0;0.0;2016;10;3;4
1;18;6;False;3;142;106;1567;75;6;85;191;11;1;1.0;0.0;2016;10;3;1
1;18;6;False;3;129;295;1489;75;6;85;187;11;1;1.0;0.0;2016;10;3;4
1;5;9;False;3;142;109;1633;75;6;85;191;11;1;1.0;0.0;2016;10;3;0
1;5;9;False;3;129;0;16;75;6;85;187;11;1;1.0;0.0;2016;10;3;1
1;18;6;False;2;3;295;1421;75;6;85;141;11;2;1.0;0.0;2016;10;3;4
