fullVisitorId;visitNumber;browser;operatingSystem;deviceCategory;subContinent;country;city;campaign;source;pageviews;bounces;newVisits;transactionRevenue;year;month;quarterMonth;day;weekday;time_range
7132;1;5;9;0;7;107;295;0;75;1;1;1;0.0;2016;9;9;2;1002;1
4422;1;18;6;0;20;132;116;0;75;2;0;1;0.0;2016;9;9;2;1005;1
2005;1;18;6;0;14;15;218;0;75;1;1;1;0.0;2016;9;9;2;1006;1
1630;1;5;9;0;11;138;295;0;23;23;0;1;0.0;2017;1;1;26;6535;3
618;1;5;1;1;18;61;295;0;75;4;0;1;0.0;2017;1;1;26;6523;4
5891;1;5;6;0;11;138;16;0;16;5;0;1;0.0;2017;1;1;26;6534;3
2948;1;5;1;2;11;138;295;3;23;5;0;1;0.0;2017;1;1;26;6518;4
9380;1;5;1;1;11;138;295;0;66;8;0;1;0.0;2017;1;1;27;6549;0
1809;3;5;6;0;11;138;195;0;0;1;0;0;0.0;2017;1;1;26;6528;4
6711;4;5;6;0;11;138;295;0;48;4;0;0;0.0;2017;1;1;26;6538;3
5876;1;18;11;1;21;43;295;0;23;4;0;1;0.0;2017;1;1;26;6531;3
1338;10;5;6;0;11;138;257;0;0;5;0;0;0.0;2017;1;1;27;6541;0
21;13;5;6;0;11;138;295;0;48;9;0;0;0.0;2017;1;1;26;6536;3
2995;1;5;6;0;11;138;295;0;0;8;0;1;0.0;2017;1;1;26;6532;3
1988;1;5;9;0;20;60;295;0;75;18;0;1;0.0;2017;1;1;26;6533;3
3492;1;5;1;1;14;22;295;0;23;1;1;1;0.0;2017;1;1;26;6521;4
4960;1;5;6;0;11;138;295;0;23;1;1;1;0.0;2017;1;1;27;6547;0
1487;1;5;6;0;11;138;172;0;23;1;1;1;0.0;2017;1;1;26;6539;3
3733;1;5;1;1;17;55;295;0;23;1;1;1;0.0;2017;1;1;27;6548;0
7831;1;5;9;0;17;55;210;0;61;1;1;1;0.0;2017;1;1;26;6519;4
526;3;5;6;0;11;138;148;0;23;1;1;0;0.0;2017;1;1;27;6545;0
8414;1;18;11;2;6;63;295;0;75;1;1;1;0.0;2017;1;1;26;6525;4
5738;1;5;3;0;7;102;295;0;23;1;1;1;0.0;2017;1;1;27;6550;0
5310;1;5;6;0;21;39;295;0;75;1;1;1;0.0;2017;1;1;26;6520;4
126;1;5;9;0;14;100;0;0;5;1;1;1;0.0;2017;1;1;27;6543;0
7594;2;5;9;0;11;138;257;0;48;1;1;0;0.0;2017;1;1;26;6526;4
2300;1;5;9;0;15;101;295;0;23;1;1;1;0.0;2017;1;1;26;6516;1
1449;1;5;9;0;14;3;295;0;75;2;0;1;0.0;2017;1;1;27;6546;0
9050;1;5;3;0;11;138;172;0;48;3;0;1;0.0;2017;1;1;26;6540;3
88;1;5;6;0;21;39;295;0;23;4;0;1;0.0;2017;1;1;26;6522;4
1809;2;5;6;0;11;138;195;0;0;3;0;0;0.0;2017;1;1;26;6527;4
4996;1;5;6;0;11;138;182;0;23;2;0;1;0.0;2017;1;1;26;6537;3
2436;1;5;9;0;11;138;295;0;0;2;0;1;0.0;2017;1;1;27;6542;0
3336;2;5;5;0;11;138;295;0;48;2;0;0;0.0;2017;1;1;26;6524;4
7378;1;5;9;0;11;138;295;0;75;1;1;1;0.0;2017;1;1;27;6544;0
3434;1;5;9;0;18;45;295;0;75;1;1;1;0.0;2017;1;1;26;6529;3
2328;1;18;11;1;11;138;295;0;23;1;1;1;0.0;2017;1;1;26;6517;1
675;1;7;9;0;15;142;295;0;75;2;0;1;0.0;2017;1;1;26;6530;3
8545;1;9;9;0;12;137;295;0;23;1;1;1;0.0;2017;6;6;23;11100;4
184;1;18;11;2;21;39;295;0;23;1;1;1;0.0;2017;6;6;23;11108;3
3101;1;5;5;0;15;56;295;0;0;1;1;1;0.0;2017;6;6;24;11114;0
6442;1;5;5;0;7;102;295;0;0;1;1;1;0.0;2017;6;6;23;11096;4
8303;1;18;6;0;6;127;0;0;0;1;1;1;0.0;2017;6;6;23;11089;1
3347;1;18;11;1;11;138;231;1;23;1;1;1;0.0;2017;6;6;23;11091;4
4732;1;5;6;0;11;138;295;4;3;1;1;1;0.0;2017;6;6;23;11107;3
8373;4;5;6;0;11;19;271;0;16;1;1;0;0.0;2017;6;6;23;11092;4
3924;3;5;1;1;11;138;295;0;16;1;1;0;0.0;2017;6;6;23;11103;3
3924;4;5;1;1;11;138;295;0;16;1;1;0;0.0;2017;6;6;23;11104;3
2662;1;19;11;2;11;46;295;0;23;1;1;1;0.0;2017;6;6;23;11094;4
3551;1;18;11;1;1;5;161;0;23;1;1;1;0.0;2017;6;6;23;11093;4
4917;1;18;11;1;11;138;295;0;23;1;1;1;0.0;2017;6;6;23;11106;3
7583;1;8;9;0;7;107;295;0;23;1;1;1;0.0;2017;6;6;23;11099;4
4615;1;5;11;1;11;138;14;0;23;1;1;1;0.0;2017;6;6;23;11095;4
5422;1;18;11;1;11;138;295;0;23;2;0;1;0.0;2017;6;6;24;11111;0
8970;1;5;3;0;11;138;295;0;23;2;0;1;0.0;2017;6;6;23;11105;3
7472;1;5;6;0;18;120;152;0;48;2;0;1;0.0;2017;6;6;23;11088;1
636;1;5;6;0;11;138;230;0;23;2;0;1;0.0;2017;6;6;23;11098;4
4469;1;5;6;0;11;138;295;0;0;2;0;1;0.0;2017;6;6;23;11101;3
3765;3;5;3;0;11;138;257;0;48;3;0;0;0.0;2017;6;6;23;11102;3
2537;1;5;9;0;11;19;295;0;23;2;0;1;0.0;2017;6;6;24;11113;0
5445;2;8;6;0;11;19;295;0;23;3;0;0;0.0;2017;6;6;24;11112;0
5089;1;9;9;0;11;138;111;0;23;3;0;1;0.0;2017;6;6;23;11097;4
1448;1;5;6;0;11;138;182;0;23;5;0;1;0.0;2017;6;6;24;11115;0
2016;1;5;6;0;11;138;295;0;48;28;0;1;31.49;2017;6;6;24;11110;0
9169;1;5;9;0;15;114;250;0;23;31;0;1;0.0;2017;6;6;24;11109;0
615;1;5;1;1;17;55;57;0;75;1;1;1;0.0;2017;6;6;23;11090;1
7414;1;18;11;1;17;55;0;0;23;1;1;1;0.0;2017;3;3;12;7946;3
2507;2;5;6;0;21;39;295;0;23;1;1;0;0.0;2017;3;3;12;7935;4
3450;1;5;9;0;12;30;295;0;23;1;1;1;0.0;2017;3;3;12;7934;4
8468;1;5;1;1;11;138;295;0;0;1;1;1;0.0;2017;3;3;12;7947;3
6987;1;18;11;1;20;136;295;0;23;1;1;1;0.0;2017;3;3;12;7942;4
7574;1;5;9;0;11;19;295;4;3;1;1;1;0.0;2017;3;3;13;7954;0
5999;3;5;11;1;11;138;231;0;0;1;1;0;0.0;2017;3;3;12;7949;3
9237;1;8;6;0;21;125;295;0;0;1;1;1;0.0;2017;3;3;12;7933;4
2061;1;5;9;0;11;19;295;0;23;1;1;1;0.0;2017;3;3;12;7932;4
7057;2;5;9;0;6;63;62;0;23;1;1;0;0.0;2017;3;3;12;7929;1
4442;1;5;1;1;17;55;295;0;23;1;1;1;0.0;2017;3;3;12;7931;1
7318;1;18;6;0;12;124;295;0;23;1;1;1;0.0;2017;3;3;12;7945;3
193;1;18;11;1;11;138;295;0;23;2;0;1;0.0;2017;3;3;13;7952;0
1652;1;5;9;0;20;60;265;0;23;2;0;1;0.0;2017;3;3;12;7936;4
653;1;5;9;0;20;60;265;0;23;2;0;1;0.0;2017;3;3;12;7940;4
7057;1;5;9;0;6;63;62;0;23;2;0;1;0.0;2017;3;3;12;7928;1
9803;7;18;11;1;11;138;0;0;0;3;0;0;0.0;2017;3;3;12;7938;4
430;2;5;9;0;11;138;295;0;23;3;0;0;0.0;2017;3;3;13;7953;0
9803;8;18;11;1;11;138;0;0;0;5;0;0;0.0;2017;3;3;13;7955;0
8579;1;5;9;0;10;33;295;0;23;5;0;1;0.0;2017;3;3;12;7937;4
2203;1;5;1;1;11;138;295;0;23;5;0;1;0.0;2017;3;3;12;7948;3
112;1;18;6;0;7;102;283;0;23;7;0;1;0.0;2017;3;3;12;7939;4
2143;1;5;6;0;11;138;230;0;23;11;0;1;0.0;2017;3;3;13;7951;0
2333;2;5;6;0;12;59;241;0;23;8;0;0;0.0;2017;3;3;12;7944;4
898;1;5;9;0;11;138;29;0;75;1;1;1;0.0;2017;3;3;13;7956;0
3654;1;5;9;0;10;33;295;0;75;1;1;1;0.0;2017;3;3;12;7943;4
693;1;5;9;0;10;2;295;0;75;2;0;1;0.0;2017;3;3;13;7950;2
2942;1;5;9;0;7;107;295;0;75;3;0;1;0.0;2017;3;3;12;7941;4
6270;1;5;1;1;6;127;0;0;75;6;0;1;0.0;2017;3;3;12;7930;1
8944;2;5;1;1;6;63;295;0;23;1;1;0;0.0;2017;2;2;3;6734;1
5452;1;5;9;0;12;137;295;0;23;1;1;1;0.0;2017;2;2;3;6737;1
3456;13;5;6;0;12;30;295;0;0;1;1;0;0.0;2017;2;2;3;6738;4
427;1;5;1;2;21;43;295;0;23;1;1;1;0.0;2017;2;2;3;6742;4
5376;1;5;9;0;18;61;295;0;23;1;1;1;0.0;2017;2;2;3;6739;4
6681;1;5;9;0;11;19;295;0;23;1;1;1;0.0;2017;2;2;4;6752;0
4083;1;5;6;0;11;138;59;0;0;1;1;1;0.0;2017;2;2;3;6746;3
5598;1;5;9;0;20;60;265;0;23;1;1;1;0.0;2017;2;2;3;6733;1
9186;1;5;5;0;11;138;0;0;0;1;1;1;0.0;2017;2;2;3;6748;3
5688;3;8;9;0;12;137;295;0;23;1;1;0;0.0;2017;2;2;3;6732;1
105;1;5;6;0;11;138;295;0;0;1;1;1;0.0;2017;2;2;3;6744;4
7476;3;18;11;2;11;138;295;0;23;1;1;0;0.0;2017;2;2;3;6741;4
7476;2;18;11;2;11;138;295;0;23;1;1;0;0.0;2017;2;2;3;6740;4
775;1;16;0;1;19;93;295;0;23;1;1;1;0.0;2017;2;2;3;6735;1
7091;1;5;1;1;18;120;295;0;23;1;1;1;0.0;2017;2;2;3;6751;3
7026;1;18;11;2;11;138;295;0;23;1;1;1;0.0;2017;2;2;4;6753;0
3834;1;5;1;1;11;138;295;0;23;1;1;1;0.0;2017;2;2;4;6754;0
8949;1;18;11;1;7;107;295;0;23;1;1;1;0.0;2017;2;2;4;6756;0
7353;4;5;5;0;11;138;295;0;48;2;0;0;0.0;2017;2;2;4;6755;0
6786;1;18;6;0;11;138;295;0;0;2;0;1;0.0;2017;2;2;3;6750;3
5818;1;5;9;0;11;138;295;0;0;2;0;1;0.0;2017;2;2;3;6747;3
5785;1;5;1;1;21;43;295;0;23;4;0;1;0.0;2017;2;2;3;6745;3
143;1;18;11;1;11;19;295;0;23;8;0;1;0.0;2017;2;2;3;6749;3
110;1;7;9;0;12;124;295;0;75;1;1;1;0.0;2017;2;2;3;6736;1
51;1;5;6;0;3;83;295;0;75;3;0;1;0.0;2017;2;2;3;6743;4
1401;1;5;6;0;21;43;295;0;23;5;0;1;0.0;2016;8;8;11;326;3
8656;11;5;3;0;11;138;172;0;48;9;0;0;0.0;2016;8;8;12;340;0
2087;1;18;11;2;18;120;295;0;23;9;0;1;0.0;2016;8;8;11;332;3
5594;1;5;1;1;11;138;295;0;23;13;0;1;0.0;2016;8;8;11;321;4
5132;9;5;6;0;11;138;182;0;67;23;0;0;556.61;2016;8;8;11;331;3
7560;1;5;6;0;11;138;295;3;23;23;0;1;0.0;2016;8;8;11;320;4
5353;2;5;6;0;11;138;230;0;48;35;0;0;0.0;2016;8;8;12;339;0
5132;8;5;6;0;11;138;182;0;67;34;0;0;0.0;2016;8;8;11;324;3
8279;1;5;9;0;17;55;295;0;75;5;0;1;0.0;2016;8;8;11;317;1
9855;1;5;9;0;21;6;295;0;75;1;1;1;0.0;2016;8;8;11;316;1
9215;1;5;9;0;17;55;25;0;6;1;1;1;0.0;2016;8;8;12;341;0
9532;1;5;1;1;12;137;295;0;23;2;0;1;0.0;2016;8;8;11;330;3
8061;1;5;11;1;6;119;246;0;0;1;1;1;0.0;2016;8;8;11;329;3
8061;3;5;11;1;6;119;246;0;0;1;1;0;0.0;2016;8;8;12;337;0
658;2;5;6;0;11;138;295;0;19;1;1;0;0.0;2016;8;8;12;343;0
2800;1;5;1;1;7;106;41;0;0;2;0;1;0.0;2016;8;8;11;323;4
6778;1;5;1;1;11;138;148;0;0;4;0;1;0.0;2016;8;8;12;335;2
5559;1;18;10;1;7;106;41;0;0;4;0;1;0.0;2016;8;8;11;322;4
8061;2;5;11;1;6;119;246;0;0;10;0;0;0.0;2016;8;8;12;334;2
7460;1;5;6;0;11;138;257;0;23;1;1;1;0.0;2016;8;8;11;325;3
5009;1;5;11;1;11;138;14;0;23;1;1;1;0.0;2016;8;8;11;328;3
5353;1;5;6;0;11;138;230;0;23;3;0;1;0.0;2016;8;8;12;338;0
9969;1;18;6;0;11;138;257;0;23;3;0;1;0.0;2016;8;8;12;342;0
7934;1;7;9;0;11;138;295;0;75;1;1;1;0.0;2016;8;8;12;333;2
5203;3;5;9;0;20;132;295;0;75;1;1;0;0.0;2016;8;8;11;315;1
6590;1;8;9;0;18;120;295;0;75;1;1;1;0.0;2016;8;8;11;318;1
1598;1;5;9;0;21;39;295;0;75;1;1;1;0.0;2016;8;8;11;319;1
7438;1;8;9;0;7;135;295;0;75;1;1;1;0.0;2016;8;8;11;327;3
2795;1;18;6;0;16;118;295;0;75;1;1;1;0.0;2016;8;8;12;336;0
9048;1;5;1;1;21;39;295;0;23;5;0;1;0.0;2017;6;6;14;10858;0
8804;4;5;6;0;11;138;230;0;23;7;0;0;0.0;2017;6;6;13;10846;3
8795;3;5;9;0;11;138;295;0;23;5;0;0;0.0;2017;6;6;13;10843;4
3437;1;5;1;1;17;55;57;0;0;15;0;1;0.0;2017;6;6;14;10853;0
8707;8;5;6;0;11;138;48;0;48;3;0;0;0.0;2017;6;6;14;10855;0
2659;1;5;9;0;11;138;295;0;0;3;0;1;0.0;2017;6;6;13;10842;4
1809;4;5;6;0;11;138;195;0;48;3;0;0;0.0;2017;6;6;14;10857;0
3762;1;5;5;0;11;138;172;0;48;3;0;1;0.0;2017;6;6;13;10844;3
969;1;5;1;1;11;138;295;0;23;3;0;1;0.0;2017;6;6;13;10848;3
8795;2;5;9;0;11;138;295;0;23;5;0;0;0.0;2017;6;6;13;10837;4
3680;1;5;1;1;11;138;59;0;0;5;0;1;0.0;2017;6;6;13;10840;4
6221;1;5;1;1;11;138;295;0;0;7;0;1;0.0;2017;6;6;14;10850;2
6221;2;5;1;1;11;138;295;0;23;9;0;0;0.0;2017;6;6;14;10851;2
9147;1;8;9;0;18;45;295;0;23;13;0;1;0.0;2017;6;6;13;10833;1
189;3;5;6;0;11;138;245;0;48;18;0;0;13.59;2017;6;6;13;10839;4
2965;9;5;6;0;20;132;295;4;3;21;0;0;0.0;2017;6;6;13;10831;1
9325;1;5;1;1;17;55;295;0;23;19;0;1;0.0;2017;6;6;13;10834;1
2965;8;5;6;0;20;132;295;4;3;37;0;0;0.0;2017;6;6;13;10828;1
5616;1;18;11;2;6;119;246;0;23;1;1;1;0.0;2017;6;6;13;10832;1
3438;1;5;9;0;17;55;112;0;23;1;1;1;0.0;2017;6;6;13;10845;3
4041;2;5;9;0;6;127;295;0;5;2;0;0;0.0;2017;6;6;13;10836;4
3584;1;5;1;1;20;110;295;4;3;2;0;1;0.0;2017;6;6;13;10830;1
710;6;5;9;0;11;138;225;0;0;3;0;0;0.0;2017;6;6;13;10849;3
3680;2;5;1;1;11;138;59;0;23;1;1;0;0.0;2017;6;6;13;10841;4
1313;1;5;9;0;21;39;295;0;0;1;1;1;0.0;2017;6;6;13;10829;1
167;1;5;9;0;11;19;295;0;23;1;1;1;0.0;2017;6;6;14;10852;2
1488;1;5;1;1;12;137;295;0;23;1;1;1;0.0;2017;6;6;14;10859;0
3477;1;18;11;1;11;138;295;0;23;1;1;1;0.0;2017;6;6;14;10860;0
2837;1;18;11;1;12;137;295;0;23;1;1;1;0.0;2017;6;6;13;10838;4
8511;1;5;9;0;11;138;295;0;23;1;1;1;0.0;2017;6;6;14;10854;0
4627;1;5;1;1;11;19;47;0;23;2;0;1;0.0;2017;6;6;13;10847;3
9585;1;18;11;1;12;137;295;0;23;2;0;1;0.0;2017;6;6;13;10835;1
6073;1;8;6;0;11;138;295;0;23;2;0;1;0.0;2017;6;6;14;10856;0
1564;1;5;1;1;12;137;147;0;0;1;1;1;0.0;2017;1;1;13;6166;3
1337;1;5;1;1;11;138;182;0;0;1;1;1;0.0;2017;1;1;14;6169;0
746;1;5;9;0;21;11;295;0;23;1;1;1;0.0;2017;1;1;13;6155;1
3999;1;5;6;0;18;120;7;0;23;1;1;1;0.0;2017;1;1;13;6154;1
2423;1;5;1;1;17;55;295;0;0;1;1;1;0.0;2017;1;1;14;6171;0
2565;1;18;6;0;11;138;182;4;3;1;1;1;0.0;2017;1;1;13;6165;3
591;1;5;1;1;21;43;295;0;23;1;1;1;0.0;2017;1;1;13;6156;1
5101;1;18;11;1;12;137;147;0;23;2;0;1;0.0;2017;1;1;14;6168;2
2237;1;5;9;0;11;138;295;0;23;2;0;1;0.0;2017;1;1;13;6158;4
770;1;5;6;0;11;138;295;0;23;3;0;1;0.0;2017;1;1;14;6170;0
3411;1;5;6;0;11;138;172;0;0;3;0;1;0.0;2017;1;1;13;6164;3
5388;1;5;9;0;12;124;295;0;5;4;0;1;0.0;2017;1;1;13;6160;4
7062;1;3;1;1;18;120;295;0;23;4;0;1;0.0;2017;1;1;13;6163;3
8392;1;5;9;0;15;129;295;0;23;4;0;1;0.0;2017;1;1;13;6157;1
5314;5;5;9;0;11;138;172;0;0;5;0;0;0.0;2017;1;1;13;6161;3
2666;1;5;9;0;11;138;295;0;0;12;0;1;0.0;2017;1;1;13;6162;3
6675;1;5;9;0;20;132;295;0;75;1;1;1;0.0;2017;1;1;13;6159;4
4651;1;5;9;0;18;103;295;0;75;1;1;1;0.0;2017;1;1;14;6167;2
5029;1;18;6;0;15;142;268;0;75;1;1;1;0.0;2016;11;11;19;4149;0
7596;1;5;1;1;17;55;181;0;23;1;1;1;0.0;2016;11;11;18;4117;1
1223;1;9;9;0;6;119;295;0;75;1;1;1;0.0;2016;11;11;19;4143;2
7391;1;5;9;0;15;129;0;0;75;1;1;1;0.0;2016;11;11;18;4118;1
7072;1;5;9;0;14;100;136;0;75;1;1;1;0.0;2016;11;11;18;4139;3
6049;1;5;3;0;18;120;295;0;23;1;1;1;0.0;2016;11;11;18;4113;1
6324;1;5;9;0;15;129;295;0;75;1;1;1;0.0;2016;11;11;19;4148;0
4883;1;5;9;0;3;83;295;0;75;1;1;1;0.0;2016;11;11;19;4146;0
4645;2;18;6;0;6;63;249;0;75;1;1;0;0.0;2016;11;11;18;4119;1
7194;1;5;9;0;17;55;25;0;75;1;1;1;0.0;2016;11;11;18;4131;3
1136;1;5;9;0;20;132;295;0;75;1;1;1;0.0;2016;11;11;18;4123;4
1227;1;5;9;0;15;129;0;0;75;1;1;1;0.0;2016;11;11;19;4152;0
6304;1;18;6;0;3;83;295;0;75;1;1;1;0.0;2016;11;11;19;4147;0
5326;1;18;6;0;20;7;17;0;75;1;1;1;0.0;2016;11;11;18;4136;3
9602;1;5;1;1;15;78;135;0;23;1;1;1;0.0;2016;11;11;18;4122;4
6087;1;18;6;0;3;83;295;0;75;2;0;1;0.0;2016;11;11;18;4129;4
5825;1;5;9;0;17;55;175;0;75;2;0;1;0.0;2016;11;11;18;4116;1
7095;1;18;6;0;15;142;109;0;75;4;0;1;0.0;2016;11;11;19;4153;1
4279;1;18;11;2;17;55;57;0;23;30;0;1;0.0;2016;11;11;18;4124;4
41;1;5;5;0;11;138;182;0;0;1;1;1;0.0;2016;11;11;18;4126;4
6566;189;5;6;0;11;138;172;0;0;1;1;0;0.0;2016;11;11;18;4125;4
6566;191;5;6;0;11;138;172;0;0;1;1;0;0.0;2016;11;11;19;4144;0
6566;190;5;6;0;11;138;172;0;0;1;1;0;0.0;2016;11;11;18;4127;4
7551;1;18;11;1;12;137;295;0;23;1;1;1;0.0;2016;11;11;18;4132;3
6970;2;18;11;1;11;138;231;0;75;1;1;0;0.0;2016;11;11;18;4133;3
2974;3;5;1;1;11;138;230;0;0;1;1;0;0.0;2016;11;11;18;4130;4
9081;5;18;11;1;11;138;295;0;23;1;1;0;0.0;2016;11;11;19;4140;2
9081;4;18;11;1;11;138;295;0;23;1;1;0;0.0;2016;11;11;18;4114;1
8546;5;5;1;1;11;138;172;0;23;1;1;0;0.0;2016;11;11;18;4134;3
8711;1;5;9;0;1;91;295;0;75;2;0;1;0.0;2016;11;11;19;4151;0
3604;1;5;9;0;15;142;109;0;75;2;0;1;0.0;2016;11;11;19;4145;0
973;1;18;6;0;15;142;295;0;75;2;0;1;0.0;2016;11;11;18;4121;1
4578;1;18;6;0;15;142;295;0;75;2;0;1;0.0;2016;11;11;19;4141;2
3562;1;8;9;0;1;91;295;0;75;2;0;1;0.0;2016;11;11;19;4142;2
2028;1;5;6;0;11;138;182;0;23;2;0;1;0.0;2016;11;11;18;4128;4
5950;3;5;6;0;11;138;295;0;0;3;0;0;0.0;2016;11;11;18;4135;3
7450;1;5;6;0;11;138;295;0;23;4;0;1;0.0;2016;11;11;19;4150;0
114;1;18;6;0;6;63;295;0;60;6;0;1;0.0;2016;11;11;19;4154;1
4645;3;18;6;0;6;63;249;0;23;7;0;0;0.0;2016;11;11;18;4120;1
101;1;5;1;1;11;138;111;0;23;9;0;1;0.0;2016;11;11;18;4138;3
4117;1;9;9;0;11;138;295;0;23;11;0;1;0.0;2016;11;11;18;4137;3
9307;1;5;9;0;12;137;295;0;0;22;0;1;0.0;2016;11;11;18;4115;1
833;1;5;9;0;11;138;295;0;23;1;1;1;0.0;2016;11;11;10;3706;1
3955;4;5;1;1;15;78;135;0;23;1;1;0;0.0;2016;11;11;11;3738;0
7352;2;5;9;0;15;114;0;0;48;5;0;0;0.0;2016;11;11;11;3744;0
3938;1;5;1;1;11;138;148;0;23;6;0;1;0.0;2016;11;11;10;3731;4
5399;1;18;11;1;11;138;56;0;23;6;0;1;0.0;2016;11;11;11;3741;0
8546;1;5;1;1;11;138;172;0;23;7;0;1;0.0;2016;11;11;10;3730;4
1633;1;5;9;0;1;5;38;0;23;8;0;1;0.0;2016;11;11;10;3707;1
1076;1;5;9;0;11;19;169;4;3;11;0;1;0.0;2016;11;11;10;3725;4
5109;1;5;6;0;11;138;295;0;48;12;0;1;27.19;2016;11;11;11;3743;0
2594;1;5;9;0;11;138;295;0;23;13;0;1;0.0;2016;11;11;10;3726;4
1633;2;5;9;0;1;5;38;0;23;15;0;0;0.0;2016;11;11;10;3715;1
1266;1;5;6;0;1;5;295;0;23;1;1;1;0.0;2016;11;11;11;3742;0
1912;1;5;6;0;11;138;295;3;23;1;1;1;0.0;2016;11;11;10;3734;3
660;1;5;9;0;3;83;295;0;23;1;1;1;0.0;2016;11;11;10;3735;3
296;1;18;11;2;12;30;295;0;23;1;1;1;0.0;2016;11;11;10;3727;4
6861;1;5;9;0;1;5;259;0;23;1;1;1;0.0;2016;11;11;10;3714;1
5056;1;5;6;0;21;90;8;0;23;1;1;1;0.0;2016;11;11;10;3724;4
2529;1;5;6;0;15;114;0;0;23;1;1;1;0.0;2016;11;11;10;3712;1
2257;1;18;6;0;15;142;109;0;75;1;1;1;0.0;2016;11;11;10;3710;1
8955;1;18;6;0;14;15;295;0;75;1;1;1;0.0;2016;11;11;10;3713;1
2259;1;18;6;0;15;142;109;0;75;1;1;1;0.0;2016;11;11;11;3746;0
4897;1;18;6;0;14;15;295;0;75;1;1;1;0.0;2016;11;11;10;3732;4
2130;1;5;9;0;20;132;295;0;75;1;1;1;0.0;2016;11;11;10;3722;4
8077;1;18;6;0;15;142;75;0;75;1;1;1;0.0;2016;11;11;11;3740;0
9949;1;5;9;0;6;119;295;0;75;1;1;1;0.0;2016;11;11;10;3716;1
7563;1;5;9;0;15;142;75;0;75;1;1;1;0.0;2016;11;11;10;3718;1
9109;1;5;9;0;20;4;295;0;75;1;1;1;0.0;2016;11;11;10;3728;4
8870;1;18;6;0;15;142;106;0;75;1;1;1;0.0;2016;11;11;10;3705;1
5844;1;18;6;0;15;129;295;0;75;1;1;1;0.0;2016;11;11;10;3721;4
5489;1;5;9;0;15;142;109;0;75;1;1;1;0.0;2016;11;11;11;3745;0
2802;1;5;9;0;15;129;0;0;75;1;1;1;0.0;2016;11;11;10;3719;1
550;1;18;6;0;14;3;295;0;75;2;0;1;0.0;2016;11;11;10;3723;4
713;1;5;9;0;15;129;295;0;75;2;0;1;0.0;2016;11;11;10;3708;1
422;1;18;6;0;14;15;295;0;75;2;0;1;0.0;2016;11;11;10;3720;4
79;1;18;6;0;15;142;295;0;75;3;0;1;0.0;2016;11;11;10;3717;1
142;1;5;9;0;17;55;295;0;23;1;1;1;0.0;2016;11;11;10;3729;4
